date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,SMA_20,RSI,SMA_10,EMA_12,EMA_26,RSI_14,MACD,MACD_signal,BB_upper,BB_lower,BB_percent,Volatility,ATR,OBV,Daily_Return,Cumulative_Return
2024-06-03,12.25,12.32,12.02,12.19,11.47,53784100,53784100,-0.06,-0.4898,12.195,"June 03, 24",-0.004898,,,,,,,,,,,,,0.0,53784100,,
2024-06-04,12.08,12.13,11.96,12.03,11.32,41533100,41533100,-0.05,-0.41391,12.05,"June 04, 24",-0.0041391,,,,,,,,,,,,,0.0,12251000,-1.312551271534046,-0.01312551271534046
2024-06-05,12.05,12.12,11.82,12.07,11.35,45509803,45509803,0.02,0.16598,12.015,"June 05, 24",0.0016598,,,,,,,,,,,,,0.0,57760803,0.33250207813799726,-0.009844134536505234
2024-06-06,11.98,12.1,11.96,12.07,11.35,28289900,28289900,0.09,0.75125,12.0275,"June 06, 24",0.0075125,,,,,,,,,,,,,0.0,86050703,0.0,-0.009844134536505234
2024-06-07,12.0,12.16,11.95,12.15,11.43,31934000,31934000,0.15,1.25,12.065,"June 07, 24",0.0125,,,,,,,,,,,,,0.0,117984703,0.6628003314001596,-0.003281378178835115
2024-06-10,12.13,12.52,12.1,12.38,11.65,68347200,68347200,0.25,2.06,12.2825,"June 10, 24",0.0206,,,,,,,,,,,,,0.0,186331903,1.8930041152263488,0.015586546349466879
2024-06-11,12.32,12.36,12.05,12.11,11.39,48201800,48201800,-0.21,-1.7,12.21,"June 11, 24",-0.017,,,,,,,,,,,,,0.0,138130103,-2.180936995153482,-0.00656275635767023
2024-06-12,12.28,12.37,12.03,12.08,11.36,57116231,57116231,-0.2,-1.63,12.19,"June 12, 24",-0.0163,,,,,,,,,,,,,0.0,81013872,-0.24772914946324942,-0.009023789991796538
2024-06-13,12.08,12.09,11.85,11.94,11.23,41422300,41422300,-0.14,-1.16,11.99,"June 13, 24",-0.0116,,,,,,,,,,,,,0.0,39591572,-1.1589403973509937,-0.020508613617719385
2024-06-14,11.8,11.83,11.55,11.71,11.02,49382100,49382100,-0.09,-0.76271,11.7225,"June 14, 24",-0.0076271,,,12.073,,,,,,,,,,0.0,-9790528,-1.9262981574539206,-0.039376538146021156
2024-06-17,11.66,11.89,11.66,11.85,11.15,31970100,31970100,0.19,1.63,11.765,"June 17, 24",0.0163,,,12.039,,,,,,,,,,0.0,22179572,1.1955593509820561,-0.02789171452009842
2024-06-18,11.81,11.94,11.77,11.78,11.08,29023400,29023400,-0.03,-0.25402,11.825,"June 18, 24",-0.0025402,,,12.014,11.987705613936118,,,,,,,,,0.0,-6843828,-0.5907172995780585,-0.033634126333059844
2024-06-20,11.71,11.97,11.65,11.94,11.23,53468000,53468000,0.23,1.96,11.8175,"June 20, 24",0.0196,,,12.001,11.980366288715176,,,,,,,,,0.0,46624172,1.3582342954159499,-0.020508613617719496
2024-06-21,11.9,11.91,11.76,11.84,11.14,50201923,50201923,-0.06,-0.5042,11.8525,"June 21, 24",-0.005042,,39.86172737817777,11.978,11.958771475066687,,39.86172737817777,,,,,,0.17944358444926367,0.27142857142857124,-3577751,-0.8375209380234505,-0.028712059064807227
2024-06-24,11.93,12.25,11.92,12.23,11.51,58436912,58436912,0.3,2.51,12.0825,"June 24, 24",0.0251,,56.2602511459533,11.986,12.000498940441043,,56.2602511459533,,,,,,0.18281678812947702,0.2813265306122447,54859161,3.2939189189189255,0.003281378178835226
2024-06-25,12.17,12.21,12.03,12.09,11.37,39323934,39323934,-0.08,-0.65735,12.125,"June 25, 24",-0.0065735,,50.89514552005187,11.956999999999999,12.014268334219343,,50.89514552005187,,,,,,0.1839493480210319,0.27551749271137016,15535227,-1.1447260834014816,-0.008203445447087732
2024-06-26,12.01,12.13,11.95,12.11,11.39,41426609,41426609,0.1,0.83264,12.05,"June 26, 24",0.0083264,,51.60515211472114,11.956999999999999,12.028996282800982,,51.60515211472114,,,,,,0.18514027945566885,0.2686948146605581,56961836,0.16542597187758634,-0.006562756357670119
2024-06-27,12.08,12.38,12.05,12.23,11.51,48080238,48080238,0.15,1.24,12.185,"June 27, 24",0.0124,,55.74022431083153,11.972,12.059919931600831,,55.74022431083153,,,,,,0.19322593960507453,0.27307375647051824,105042074,0.9909165978530199,0.003281378178835226
2024-06-28,12.26,12.62,12.26,12.54,11.8,65914700,65914700,0.28,2.28,12.42,"June 28, 24",0.0228,,64.24061899590356,12.032,12.133778403662241,,64.24061899590356,,,,,,0.2351910609798667,0.2814256310083383,170956774,2.534750613246106,0.028712059064807338
2024-07-01,12.56,12.87,12.53,12.76,12.0,56152700,56152700,0.2,1.59,12.68,"July 01, 24",0.0159,12.105,68.81765496694489,12.136999999999999,12.230120187714205,,68.81765496694489,,,12.593814893390126,11.616185106609874,1.169987769252808,0.2904798984931174,0.2856095145077427,227109474,1.7543859649122862,0.046759639048400414
2024-07-02,12.83,12.95,12.72,12.87,12.11,46990400,46990400,0.04,0.31177,12.8425,"July 02, 24",0.0031177,12.139,70.82819325706954,12.239,12.328563235758173,,70.82819325706954,,,12.730536981092474,11.547463018907525,1.1178819104850888,0.35831795690665424,0.2816374063286181,274099874,0.8620689655172376,0.05578342904019684
2024-07-03,12.89,12.96,12.8,12.87,12.11,26894317,26894317,-0.02,-0.15516,12.88,"July 03, 24",-0.0015516,12.181000000000001,70.82819325706954,12.347999999999999,12.411861199487685,,70.82819325706954,,,12.849846768699678,11.512153231300324,1.0150656564727838,0.40692899723564796,0.2729490201622883,300994191,0.0,0.05578342904019684
